"Country","Democracy Score","Electoral processand pluralism","Functioning of government","Political participation","Political culture","Civil liberties","Regime type","Region","Changes from last year"
" United States","7.96","9.17","7.14","7.78","7.50","8.24","Flawed democracy","North America","Score: Rank:"
" Malta","7.95","9.17","7.50","6.11","8.13","8.82","Flawed democracy","Western Europe","Score:  0.26Rank:  8"
" Estonia","7.90","9.58","7.86","6.67","6.88","8.53","Flawed democracy","Eastern Europe","Score:  0.07Rank:  4"
" Israel","7.86","9.17","7.86","8.89","7.50","5.88","Flawed democracy","Middle East & North Africa","Score:  0.07Rank:  2"
" Botswana","7.81","9.17","7.14","6.11","7.50","9.12","Flawed democracy","Sub-Saharan Africa","Score: Rank:  1"
" Cape Verde","7.78","9.17","7.36","6.67","6.88","8.82","Flawed democracy","Sub-Saharan Africa","Score:  0.1Rank:  4"
" Taiwan","7.73","9.58","8.21","6.11","5.63","9.12","Flawed democracy","Asia & Australasia","Score: Rank:  1"
" Czech Republic","7.69","9.58","6.79","6.67","6.88","8.53","Flawed democracy","Eastern Europe","Score: Rank:  2"
" Belgium","7.64","9.58","8.21","5.00","6.88","8.53","Flawed democracy","Western Europe","Score:  0.14Rank:  2"
" Cyprus","7.59","9.17","6.43","6.67","6.88","8.82","Flawed democracy","Western Europe","Score: Rank:  1"
" Italy","7.52","9.58","6.07","7.78","6.25","7.94","Flawed democracy","Western Europe","Score:  0.19Rank:  2"
" Slovenia","7.50","9.58","6.79","6.67","6.25","8.24","Flawed democracy","Eastern Europe","Score: Rank:"
" Lithuania","7.50","9.58","6.43","6.11","6.25","9.12","Flawed democracy","Eastern Europe","Score: Rank:"
" Latvia","7.49","9.58","6.07","6.11","6.88","8.82","Flawed democracy","Eastern Europe","Score:  0.11Rank:"
" Greece","7.43","9.58","4.86","6.67","7.50","8.53","Flawed democracy","Western Europe","Score:  0.14Rank:"
" South Africa","7.24","7.42","7.50","8.33","5.00","7.94","Flawed democracy","Sub-Saharan Africa","Score: Rank:"
" Timor-Leste","7.19","9.58","6.29","5.56","6.88","7.65","Flawed democracy","Asia & Australasia","Score: Rank:  1"
" Slovakia","7.17","9.58","7.14","5.56","5.63","7.94","Flawed democracy","Eastern Europe","Score:  0.07Rank:  2"
" Malaysia","7.16","9.17","7.86","6.67","6.25","5.88","Flawed democracy","Asia & Australasia","Score:  0.28Rank:  9"
" Trinidad and Tobago","7.16","9.58","7.14","6.11","5.63","7.35","Flawed democracy","Latin America","Score: Rank:"
" Colombia","7.13","9.17","6.79","5.56","5.63","8.53","Flawed democracy","Latin America","Score:  0.17Rank:  6"
" Panama","7.05","9.58","6.07","6.67","5.00","7.94","Flawed democracy","Latin America","Score: Rank:  1"
" Bulgaria","7.03","9.17","6.43","7.22","4.38","7.94","Flawed democracy","Eastern Europe","Score: Rank:  1"
" Argentina","7.02","9.17","5.36","6.11","6.25","8.24","Flawed democracy","Latin America","Score: Rank:  1"
" Suriname","6.98","9.17","6.43","6.67","5.00","7.65","Flawed democracy","Latin America","Score: Rank:"
" Jamaica","6.96","8.75","7.14","4.44","6.25","8.24","Flawed democracy","Latin America","Score:  0.06Rank:  3"
" India","6.90","8.67","6.79","6.67","5.63","6.76","Flawed democracy","Asia & Australasia","Score:  0.33Rank:  10"
" Brazil","6.86","9.58","5.36","6.11","5.00","8.24","Flawed democracy","Latin America","Score:  0.11Rank:  2"
" Tunisia","6.72","9.17","5.71","7.22","5.63","5.88","Flawed democracy","Middle East & North Africa","Score:  0.31Rank:  10"
" Philippines","6.64","9.17","5.36","7.22","4.38","7.06","Flawed democracy","Asia & Australasia","Score:  0.07Rank:  1"
" Ghana","6.63","8.33","5.71","6.67","6.25","6.18","Flawed democracy","Sub-Saharan Africa","Score: Rank:  2"
" Hungary","6.63","8.75","6.07","5.00","6.25","7.06","Flawed democracy","Eastern Europe","Score: Rank:  2"
" Poland","6.62","9.17","6.07","6.11","4.38","7.35","Flawed democracy","Eastern Europe","Score:  0.05Rank:  3"
" Peru","6.60","9.17","5.00","5.56","5.63","7.65","Flawed democracy","Latin America","Score: Rank:  1"
" Croatia","6.57","9.17","6.07","5.56","5.00","7.06","Flawed democracy","Eastern Europe","Score: Rank:  1"
" Dominican Republic","6.54","9.17","5.36","6.11","5.00","7.06","Flawed democracy","Latin America","Score: Rank:  1"
" Lesotho","6.54","9.17","4.50","6.67","5.63","6.76","Flawed democracy","Sub-Saharan Africa","Score:  0.1Rank:  4"
" Mongolia","6.50","9.17","5.71","5.56","5.00","7.06","Flawed democracy","Asia & Australasia","Score: Rank:"
" Romania","6.49","9.17","5.71","5.56","4.38","7.65","Flawed democracy","Eastern Europe","Score:  0.11Rank:  3"
" Indonesia","6.48","7.92","7.14","6.11","5.63","5.59","Flawed democracy","Asia & Australasia","Score:  0.09Rank:  1"
" Namibia","6.43","6.58","5.36","6.67","5.63","7.94","Flawed democracy","Sub-Saharan Africa","Score:  0.18Rank:  4"
" Serbia","6.41","8.25","5.36","6.11","5.00","7.35","Flawed democracy","Eastern Europe","Score: Rank:  3"
" Ecuador","6.33","8.75","5.36","6.11","4.38","7.06","Flawed democracy","Latin America","Score:  0.06Rank:  1"
" Thailand","6.32","7.42","5.36","6.11","6.25","6.47","Flawed democracy","Asia & Australasia","Score:  1.69Rank:  38"
" Sri Lanka","6.27","7.00","6.07","5.56","6.25","6.47","Flawed democracy","Asia & Australasia","Score:  0.08Rank:  2"
" Paraguay","6.24","8.75","5.71","5.00","4.38","7.35","Flawed democracy","Latin America","Score: Rank:"
" El Salvador","6.15","9.17","4.64","6.11","3.75","7.06","Flawed democracy","Latin America","Score:  0.19Rank:  6"
" Guyana","6.15","6.92","5.36","6.11","5.00","7.35","Flawed democracy","Latin America","Score:  0.52Rank:  17"
" Mexico","6.09","7.83","6.07","7.22","3.13","6.18","Flawed democracy","Latin America","Score:  0.1Rank:  2"
" Papua New Guinea","6.03","6.92","6.07","3.89","5.63","7.65","Flawed democracy","Asia & Australasia","Score: Rank:  1"
" Hong Kong","6.02","3.58","4.36","6.11","7.50","8.53","Flawed democracy","Asia & Australasia","Score:  0.13Rank:  2"
" Singapore","6.02","3.92","7.86","5.00","6.25","7.06","Flawed democracy","Asia & Australasia","Score:  0.36Rank:  9"
" North Macedonia","5.97","7.00","5.36","6.67","3.75","7.06","Hybrid regime","Eastern Europe","Score:  0.1Rank:  1"
" Ukraine","5.90","7.42","2.71","6.67","6.25","6.47","Hybrid regime","Eastern Europe","Score:  0.21Rank:  6"
" Albania","5.89","7.00","5.36","4.44","5.00","7.65","Hybrid regime","Eastern Europe","Score:  0.09Rank:  3"
" Bangladesh","5.88","7.83","6.07","6.11","4.38","5.00","Hybrid regime","Asia & Australasia","Score:  0.31Rank:  8"
" Fiji","5.85","6.58","5.36","6.11","5.63","5.59","Hybrid regime","Asia & Australasia","Score: Rank:  2"
" Senegal","5.81","6.08","6.07","4.44","6.25","6.18","Hybrid regime","Sub-Saharan Africa","Score:  0.34Rank:  9"
" Moldova","5.75","6.58","4.64","6.11","4.38","7.06","Hybrid regime","Eastern Europe","Score:  0.1Rank:  4"
" Montenegro","5.65","5.67","5.36","6.11","4.38","6.76","Hybrid regime","Eastern Europe","Score:  0.09Rank:  3"
" Madagascar","5.64","7.92","3.57","6.11","5.63","5.00","Hybrid regime","Sub-Saharan Africa","Score:  0.42Rank:  10"
" Armenia","5.54","7.50","5.36","6.11","3.13","5.59","Hybrid regime","Eastern Europe","Score:  0.75Rank:  17"
" Malawi","5.50","6.08","4.29","5.00","6.25","5.88","Hybrid regime","Sub-Saharan Africa","Score:  0.01Rank:  3"
" Liberia","5.45","7.42","3.07","5.56","5.63","5.59","Hybrid regime","Sub-Saharan Africa","Score:  0.1Rank:  5"
" Georgia","5.42","7.83","3.21","6.11","4.38","5.59","Hybrid regime","Eastern Europe","Score:  0.08Rank:"
" Honduras","5.42","7.83","4.29","4.44","4.38","6.18","Hybrid regime","Latin America","Score:  0.21Rank:  4"
" Bhutan","5.30","8.75","6.79","2.78","4.38","3.82","Hybrid regime","Asia & Australasia","Score: Rank:  3"
"   Nepal","5.28","4.83","5.36","5.00","5.63","5.59","Hybrid regime","Asia & Australasia","Score:  0.1Rank:  5"
" Guatemala","5.26","6.92","4.64","3.89","4.38","6.47","Hybrid regime","Latin America","Score:  0.34Rank:  6"
" Kenya","5.18","3.50","5.71","6.67","5.63","4.41","Hybrid regime","Sub-Saharan Africa","Score:  0.07Rank:  4"
" Tanzania","5.16","5.75","5.00","5.00","5.63","4.41","Hybrid regime","Sub-Saharan Africa","Score:  0.25Rank:  4"
" Morocco","5.10","5.25","4.64","5.56","5.63","4.41","Hybrid regime","Middle East & North Africa","Score:  0.11Rank:  4"
" Benin","5.09","4.67","5.71","4.44","5.63","5.00","Hybrid regime","Sub-Saharan Africa","Score:  0.65Rank:  16"
" Zambia","5.09","4.75","2.93","4.44","6.88","6.47","Hybrid regime","Sub-Saharan Africa","Score:  0.52Rank:  11"
" Uganda","5.02","4.33","3.57","4.44","6.88","5.88","Hybrid regime","Sub-Saharan Africa","Score:  0.18Rank:  3"
" Mali","4.92","6.42","3.07","3.89","5.63","5.59","Hybrid regime","Sub-Saharan Africa","Score:  0.49Rank:  9"
" Kyrgyzstan","4.89","6.08","2.93","6.67","3.75","5.00","Hybrid regime","Eastern Europe","Score:  0.22Rank:  3"
" Bosnia and Herzegovina","4.86","6.17","2.93","5.56","3.75","5.88","Hybrid regime","Eastern Europe","Score:  0.12Rank:  1"
" Sierra Leone","4.86","6.58","2.86","3.33","6.25","5.29","Hybrid regime","Sub-Saharan Africa","Score:  0.2Rank:  3"
" Bolivia","4.84","4.75","3.93","5.00","3.75","6.76","Hybrid regime","Latin America","Score:  0.86Rank:  21"
" Haiti","4.57","4.75","2.07","3.89","6.25","5.88","Hybrid regime","Latin America","Score:  0.34Rank:  3"
" Lebanon","4.36","3.92","1.50","6.67","5.00","4.71","Hybrid regime","Middle East & North Africa","Score:  0.27Rank:"
" Gambia","4.33","4.00","4.29","3.33","5.63","4.41","Hybrid regime","Sub-Saharan Africa","Score:  0.02Rank:  4"
" Pakistan","4.25","6.08","5.71","2.22","2.50","4.71","Hybrid regime","Asia & Australasia","Score:  0.08Rank:  4"
" Nigeria","4.12","5.17","3.93","3.33","3.75","4.41","Hybrid regime","Sub-Saharan Africa","Score:  0.32Rank:  1"
" Turkey","4.09","3.08","5.00","5.00","5.00","2.35","Hybrid regime","Western Europe","Score:  0.28Rank:"
" Ivory Coast","4.05","4.33","2.86","3.33","5.63","4.12","Hybrid regime","Sub-Saharan Africa","Score:  0.1Rank:  2"
" Burkina Faso","4.04","3.92","2.71","4.44","5.00","4.12","Hybrid regime","Sub-Saharan Africa","Score:  0.71Rank:  8"
" Algeria","4.01","3.08","2.86","5.00","5.00","4.12","Hybrid regime","Middle East & North Africa","Score:  0.51Rank:  13"
" Jordan","3.93","3.58","4.29","3.89","4.38","3.53","Authoritarian","Middle East & North Africa","Score: Rank:  1"
" Kuwait","3.93","3.58","4.29","3.89","4.38","3.53","Authoritarian","Middle East & North Africa","Score:  0.08Rank:  2"
" Mauritania","3.92","3.50","3.57","5.00","3.13","4.41","Authoritarian","Sub-Saharan Africa","Score:  0.1Rank:  3"
" Palestine","3.89","3.33","0.14","7.78","4.38","3.82","Authoritarian","Middle East & North Africa","Score:  0.5Rank:  8"
" Iraq","3.74","5.25","0.00","6.67","5.00","1.76","Authoritarian","Middle East & North Africa","Score:  0.32Rank:  4"
" Angola","3.72","2.25","2.86","5.56","5.00","2.94","Authoritarian","Sub-Saharan Africa","Score:  0.1Rank:  4"
" Mozambique","3.65","2.58","2.14","5.00","5.00","3.53","Authoritarian","Sub-Saharan Africa","Score:  0.2Rank:  4"
" Gabon","3.61","2.58","2.21","4.44","5.00","3.82","Authoritarian","Sub-Saharan Africa","Score: Rank:  3"
" Myanmar","3.55","3.08","3.93","2.78","5.63","2.35","Authoritarian","Asia & Australasia","Score:  0.28Rank:  4"
" Nicaragua","3.55","1.25","2.86","3.89","5.63","4.12","Authoritarian","Latin America","Score:  0.08Rank:"
" Cambodia","3.53","0.83","4.64","3.33","5.63","3.24","Authoritarian","Asia & Australasia","Score:  0.06Rank:  1"
" Ethiopia","3.44","0.42","3.57","5.56","5.00","2.65","Authoritarian","Sub-Saharan Africa","Score:  0.09Rank:  3"
" Togo","3.30","3.17","1.79","3.33","5.00","3.24","Authoritarian","Sub-Saharan Africa","Score:  0.2Rank:  12"
" Niger","3.29","2.92","1.14","3.33","4.38","4.71","Authoritarian","Sub-Saharan Africa","Score:  0.47Rank:  7"
" Qatar","3.19","0.00","4.29","2.22","5.63","3.82","Authoritarian","Middle East & North Africa","Score: Rank:  5"
" Rwanda","3.16","1.42","4.29","2.78","4.38","2.94","Authoritarian","Sub-Saharan Africa","Score:  0.19Rank:  1"
" Zimbabwe","3.16","0.00","2.50","4.44","5.63","3.24","Authoritarian","Sub-Saharan Africa","Score: Rank:  5"
" Comoros","3.15","2.08","2.21","3.89","3.75","3.82","Authoritarian","Sub-Saharan Africa","Score:  0.56Rank:  10"
" Eswatini","3.14","0.92","2.86","2.78","5.63","3.53","Authoritarian","Sub-Saharan Africa","Score:  0.11Rank:  9"
" Guinea","3.14","3.50","0.43","4.44","4.38","2.94","Authoritarian","Sub-Saharan Africa","Score: Rank:  4"
" Republic of the Congo","3.11","2.17","2.50","3.89","3.75","3.24","Authoritarian","Sub-Saharan Africa","Score:  0.2Rank:  3"
" Russia","3.11","2.17","1.79","5.00","2.50","4.12","Authoritarian","Eastern Europe","Score:  0.17Rank:  10"
" Vietnam","3.08","0.00","3.21","3.89","5.63","2.65","Authoritarian","Asia & Australasia","Score: Rank:  3"
" Egypt","3.06","2.67","3.21","3.33","3.75","2.35","Authoritarian","Middle East & North Africa","Score:  0.3Rank:  10"
" Oman","3.06","0.08","3.93","2.78","4.38","4.12","Authoritarian","Middle East & North Africa","Score:  0.02Rank:  3"
" Kazakhstan","2.94","0.50","2.14","4.44","4.38","3.24","Authoritarian","Eastern Europe","Score: Rank:  5"
" Venezuela","2.88","0.00","1.79","5.00","4.38","3.24","Authoritarian","Latin America","Score:  0.28Rank:  6"
" Afghanistan","2.85","3.42","0.64","3.89","2.50","3.82","Authoritarian","Asia & Australasia","Score:  0.12Rank:  2"
" Cameroon","2.85","1.67","2.50","3.33","4.38","2.35","Authoritarian","Sub-Saharan Africa","Score:  0.43Rank:  9"
" Cuba","2.84","0.00","3.57","3.33","4.38","2.94","Authoritarian","Latin America","Score:  0.16Rank:  1"
" Djibouti","2.77","0.42","1.29","3.89","5.63","2.65","Authoritarian","Sub-Saharan Africa","Score:  0.1Rank:  2"
" United Arab Emirates","2.76","0.00","3.93","2.22","5.00","2.65","Authoritarian","Middle East & North Africa","Score: Rank:  2"
" Azerbaijan","2.75","0.50","3.21","2.78","3.75","3.53","Authoritarian","Eastern Europe","Score:  0.1Rank:  3"
" Sudan","2.70","0.00","1.79","5.56","5.00","1.18","Authoritarian","Middle East & North Africa","Score:  0.55Rank:  8"
" Guinea-Bissau","2.63","4.92","0.00","2.78","3.13","2.35","Authoritarian","Sub-Saharan Africa","Score:  0.65Rank:  9"
" Bahrain","2.55","0.83","2.71","2.78","4.38","2.06","Authoritarian","Middle East & North Africa","Score:  0.16Rank:  1"
" Belarus","2.48","0.92","2.00","2.78","4.38","2.35","Authoritarian","Eastern Europe","Score:  0.65Rank:  13"
" Iran","2.38","0.00","2.86","4.44","3.13","1.47","Authoritarian","Middle East & North Africa","Score:  0.07Rank:  1"
" Eritrea","2.37","0.00","2.14","1.67","6.88","1.18","Authoritarian","Sub-Saharan Africa","Score: Rank:  1"
" China","2.26","0.00","4.29","3.33","2.50","1.18","Authoritarian","Asia & Australasia","Score:  1.06Rank:  23"
" Burundi","2.15","0.00","0.07","3.33","5.00","2.35","Authoritarian","Sub-Saharan Africa","Score:  0.18Rank:  1"
" Laos","2.14","0.00","2.86","1.67","5.00","1.18","Authoritarian","Asia & Australasia","Score:  0.23Rank:  4"
" Libya","2.02","0.00","0.00","2.78","4.38","2.94","Authoritarian","Middle East & North Africa","Score:  0.17Rank:  2"
" Uzbekistan","2.01","0.08","1.86","2.22","5.00","0.88","Authoritarian","Eastern Europe","Score: Rank:  1"
" Yemen","1.95","0.00","0.00","3.89","5.00","0.88","Authoritarian","Middle East & North Africa","Score: Rank:"
" Saudi Arabia","1.93","0.00","2.86","2.22","3.13","1.47","Authoritarian","Middle East & North Africa","Score: Rank:"
" Tajikistan","1.93","0.08","0.79","1.67","6.25","0.88","Authoritarian","Eastern Europe","Score: Rank:"
" Equatorial Guinea","1.92","0.00","0.43","3.33","4.38","1.47","Authoritarian","Sub-Saharan Africa","Score: Rank:"
" Turkmenistan","1.72","0.00","0.79","2.22","5.00","0.59","Authoritarian","Eastern Europe","Score: Rank:"
" Chad","1.61","0.00","0.00","1.67","3.75","2.65","Authoritarian","Sub-Saharan Africa","Score: Rank:"
" Syria","1.43","0.00","0.00","2.78","4.38","0.00","Authoritarian","Middle East & North Africa","Score: Rank:  2"
" Central African Republic","1.32","1.25","0.00","1.11","1.88","2.35","Authoritarian","Sub-Saharan Africa","Score:  0.2Rank:  1"
" Democratic Republic of the Congo","1.13","0.00","0.00","1.67","3.13","0.88","Authoritarian","Sub-Saharan Africa","Score:  0.2Rank:  1"
" North Korea","1.08","0.00","2.50","1.67","1.25","0.00","Authoritarian","Asia & Australasia","Score: Rank:"
